US Females T-20		US Females T+20		Hadza T-20		Hadza T+20		Type II T-20		Type II T+20
0.4509249		0.4971163		0.4487752		0.4925469		0.4851456		0.4937488
0.45046			0.497104		0.4484803		0.4924933		0.4850838		0.4936932
0.4501934		0.4970919		0.4481149		0.4924386		0.4850069		0.4936277
0.4499585		0.4970803		0.4476527		0.4923816		0.4850066		0.4935655
0.4495551		0.4970679		0.4473347		0.4923254		0.4848882		0.4935123
0.4491095		0.4970557		0.4471029		0.4922729		0.4848135		0.4934533
0.4488227		0.497044		0.4461306		0.4922134		0.4847436		0.4934025
0.4485373		0.4970319		0.4458001		0.4921508		0.4846502		0.4933597
0.4481803		0.4970187		0.4457563		0.4920908		0.4845315		0.4933146
0.4477902		0.4970058		0.4454755		0.492034		0.4845322		0.4932775
0.4474175		0.4969928		0.4449257		0.4919852		0.4844396		0.4932448
0.4470508		0.49698			0.4448507		0.4919392		0.4845077		0.4932141
0.4468563		0.4969666		0.4444753		0.4918935		0.484396		0.4931843
0.4465087		0.4969537		0.4443637		0.4918612		0.484313		0.4931451
0.446199		0.4969409		0.4441144		0.4918389		0.4842404		0.493103
0.4460559		0.4969285		0.4440105		0.4918248		0.4841056		0.4930612
0.4458546		0.4969161		0.4437837		0.4918176		0.4840213		0.4930114
0.4456673		0.4969033		0.4434828		0.4918104		0.4839236		0.4929558
0.445395		0.496891		0.442825		0.491799		0.4837664		0.492899
0.4449788		0.4968784		0.4427995		0.4917867		0.4836257		0.4928416
0.4447638		0.4968652		0.4424255		0.4917754		0.4835022		0.492792
0.4445278		0.4968515		0.4422537		0.49175			0.4833373		0.4927371
0.4441764		0.4968368		0.4419977		0.4917136		0.483221		0.4926895
0.4439421		0.4968216		0.4423995		0.4916672		0.4830706		0.4926474
0.4436686		0.4968059		0.4424137		0.491605		0.482967		0.4926116
0.4433581		0.4967891		0.4423699		0.4915354		0.4829712		0.4925897
0.4429567		0.4967713		0.4420994		0.4914588		0.4828454		0.4925635
0.442736		0.4967537		0.4420372		0.491377		0.4826511		0.4925415
0.4424368		0.4967359		0.4415781		0.4912919		0.4825124		0.4925253
0.4423051		0.4967182		0.440862		0.491216		0.4823287		0.492502
0.4421525		0.4966997		0.4405138		0.491151		0.482165		0.4924846
0.4419247		0.4966823		0.4405484		0.4910927		0.4820389		0.4924605
0.4415108		0.4966653		0.4403369		0.4910442		0.4819156		0.4924311
0.4408482		0.4966479		0.4400349		0.4910108		0.481808		0.4924001
0.440421		0.496631		0.4395096		0.4909915		0.4816976		0.4923612
0.4401247		0.496615		0.4393456		0.4909852		0.481616		0.4923222
0.4396673		0.4965985		0.438937		0.4909842		0.4814709		0.4922724
0.4393035		0.4965829		0.4388152		0.4909906		0.4813553		0.4922196
0.4391213		0.4965672		0.4384049		0.4909953		0.4811839		0.4921583
0.4389811		0.4965509		0.4381298		0.4910037		0.4811111		0.492091
0.4386879		0.4965341		0.4382225		0.4910134		0.4809399		0.4920271
0.4382909		0.4965166		0.4381942		0.4910148		0.4807057		0.4919633
0.4380736		0.4964977		0.4382196		0.4910158		0.4804743		0.4918903
0.4378746		0.4964779		0.4379851		0.4910092		0.4804361		0.4918298
0.4375377		0.4964572		0.4377701		0.4909913		0.480314		0.4917781
0.4370687		0.4964353		0.4378226		0.4909731		0.4800813		0.4917315
0.4367213		0.4964119		0.4375908		0.490944		0.479991		0.4916981
0.4364844		0.4963879		0.4375765		0.4909074		0.4797654		0.4916748
0.4362349		0.4963625		0.4373336		0.4908681		0.4795906		0.4916576
0.4360228		0.4963363		0.4370072		0.4908169		0.4794792		0.4916459
0.4355728		0.4963101		0.4369194		0.4907625		0.4793016		0.49164
0.4351719		0.4962829		0.4366536		0.4907003		0.4792779		0.4916281
